date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,life_expectancy
2020-01-30,1.0,1.0,,,,,0.001,0.001,,,,,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-01-31,1.0,0.0,,,,,0.001,0.0,,,,,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-01,1.0,0.0,,,,,0.001,0.0,,,,,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-02,2.0,1.0,,,,,0.001,0.001,,,,,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-03,3.0,1.0,,,,,0.002,0.001,,,,,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-04,3.0,0.0,0.429,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-05,3.0,0.0,0.429,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-06,3.0,0.0,0.28600000000000003,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-07,3.0,0.0,0.28600000000000003,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-08,3.0,0.0,0.28600000000000003,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-09,3.0,0.0,0.14300000000000002,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-10,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-11,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-12,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-13,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-14,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-15,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-16,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-17,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-18,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-19,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-20,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-21,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-22,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-23,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-24,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-25,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-26,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-27,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-28,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-02-29,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-01,3.0,0.0,0.0,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-02,5.0,2.0,0.28600000000000003,,,0.0,0.004,0.001,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-03,5.0,0.0,0.28600000000000003,,,0.0,0.004,0.0,0.0,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-04,28.0,23.0,3.571,,,0.0,0.02,0.017,0.003,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-05,30.0,2.0,3.8569999999999998,,,0.0,0.022000000000000002,0.001,0.003,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-06,31.0,1.0,4.0,,,0.0,0.022000000000000002,0.001,0.003,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-07,34.0,3.0,4.428999999999999,,,0.0,0.025,0.002,0.003,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-08,39.0,5.0,5.143,,,0.0,0.027999999999999997,0.004,0.004,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-09,43.0,4.0,5.428999999999999,,,0.0,0.031,0.003,0.004,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-10,56.0,13.0,7.2860000000000005,,,0.0,0.040999999999999995,0.009000000000000001,0.005,,,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-11,62.0,6.0,4.857,1.0,1.0,0.14300000000000002,0.045,0.004,0.004,0.001,0.001,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-12,73.0,11.0,6.143,1.0,0.0,0.14300000000000002,0.053,0.008,0.004,0.001,0.0,0.0,,,,,,,,,,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-13,82.0,9.0,7.2860000000000005,2.0,1.0,0.28600000000000003,0.059000000000000004,0.006999999999999999,0.005,0.001,0.001,0.0,,6500.0,0.005,,,,,,samples tested,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-14,102.0,20.0,9.714,2.0,0.0,0.28600000000000003,0.07400000000000001,0.013999999999999999,0.006999999999999999,0.001,0.0,0.0,,,,,,,,,samples tested,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-15,113.0,11.0,10.571,2.0,0.0,0.28600000000000003,0.08199999999999999,0.008,0.008,0.001,0.0,0.0,,,,,,,,,samples tested,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
2020-03-16,119.0,6.0,10.857000000000001,2.0,0.0,0.28600000000000003,0.086,0.004,0.008,0.001,0.0,0.0,,,,,,,,,samples tested,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,69.66
